companyName,contractType,experienceLevel,location,salary,sector,job_title,extracted_skills,day,month,year
Ippon Technologies,Full-time,Associate,Nantes,44000.0,IT Services and IT Consulting,Data Engineer,"['Snowflake', 'Databricks', 'Matillion', 'DBT', 'Terraform', 'CloudFormation', 'Spark', 'Storm', 'Flink', 'Python', 'Scala', 'Java', 'Kafka', 'Amazon Kinesis', 'AWS', 'GCP', 'Azure']",10,10,2024
HN Services,Full-time,Associate,Nantes,44000.0,"IT Services and IT Consulting, Software Development, and Computer and Network Security",Data Engineer,"['Kafka', 'Spark', 'Java', 'Git', 'Jenkins', 'Grafana', 'Teradata', 'SQL']",1,10,2024
CGI,Full-time,Associate,Niort,44000.0,IT Services and IT Consulting,Data Engineer,"['AWS', 'Terraform', 'OpenShift', 'Kafka', 'Hadoop', 'Cloudera', 'Amazon EC2', 'S3', 'RDS', 'Lambda']",4,10,2024
DataScientest.com,Full-time,Entry level,Puteaux,44000.0,Education Administration Programs,Data Engineer,"['AWS', 'Microsoft Azure', 'GCP', 'Java', 'Python', 'C']",25,4,2024
Withings,Full-time,Entry level,Issy-les-Moulineaux,44000.0,Non-profit Organizations and Primary and Secondary Education,Data Engineer,"['Python', 'Debian', 'Ubuntu', 'Shell', 'Linux']",25,4,2023
Inetum,Full-time,Mid-Senior level,Biot,44000.0,IT Services and IT Consulting,Data Engineer,"['Salesforce', 'ServiceNow', 'Microsoft', 'SAP']",4,10,2024
Orange Business,Full-time,Associate,Lille,44000.0,IT Services and IT Consulting,Data Engineer,"['Spark', 'Python', 'Kafka', 'DataViz']",7,10,2024
Chloé,Full-time,Associate,Paris,44000.0,Retail Luxury Goods and Jewelry,Data Engineer,"['Google Cloud Platform', 'BigQuery', 'Dataflow', 'Looker', 'Python', 'SQL']",11,10,2024
METEOJOB by CleverConnect,Full-time,Entry level,Bègles,44000.0,"Technology, Information and Internet",Data Engineer,,19,7,2024
CGI,Full-time,Associate,Clermont-Ferrand,44000.0,IT System Operations and Maintenance,Data Engineer,"['Power BI', 'MicroStrategy', 'Tableau', 'Cognos', 'SQL', 'Python', 'DAX', 'R', 'Azure', 'Snowflake', 'Databricks', 'AWS', 'Oracle', 'PostgreSQL']",25,9,2024
AXEAL,Full-time,Mid-Senior level,Auvergne-Rhône-Alpes,44000.0,Engineering Services,Data Engineer,"['MQTT', 'OPCUA', 'SQL', 'API RestFul', 'WS', 'Kafka', 'Spark', 'Storm', 'Hadoop', 'Elastic Search', 'NIFI', 'ESB', 'Mule', 'Talend', 'MLFLOW', 'Grafana', 'PROMETHEUS', 'superset', 'Docker', 'Kubernetes']",18,9,2024
MP DATA,Full-time,Not Applicable,Boulogne-Billancourt,44000.0,IT Services and IT Consulting,Data Engineer,"['Ansible', 'Kubernetes', 'Spark', 'Kafka']",2,10,2024
Eulidia,Full-time,Associate,Paris,44000.0,IT Services and IT Consulting,Data Engineer,"['Hadoop', 'Spark', 'Kafka', 'PostgreSQL', 'MongoDB', 'Python', 'Java', 'Scala', 'Tableau', 'Dataiku', 'Snowflake', 'Google Azure']",7,10,2024
Wemanity Lille,Full-time,Associate,Lille,44000.0,Business Consulting and Services,Data Engineer,['Power BI'],1,10,2024
INGELINE TECHNOLOGIES,Full-time,Associate,Paris,44000.0,IT Services and IT Consulting,Data Engineer,"['Scala', 'Spark', 'Cloud Platform']",2,10,2024
Astek,Full-time,Entry level,Bordeaux,44000.0,"Motor Vehicle Manufacturing, Rail Transportation, and Ground Passenger Transportation",Data Engineer,"['Python', 'Postgres', 'Azure', 'ETL', 'SQL']",12,10,2024
CXG,Full-time,Associate,Paris,44000.0,"Retail Luxury Goods and Jewelry, Business Consulting and Services, and Market Research",Data Engineer,['None'],10,10,2024
Synchrone Fr,Full-time,Associate,Clermont-Ferrand,44000.0,"IT Services and IT Consulting, Data Infrastructure and Analytics, and IT System Data Services",Data Engineer,"['SQL', 'ElasticSearch', 'AWS Athena', 'ETL', 'Talend', 'TIBCO', 'Python', 'Spark', 'AWS', 'Google Cloud Platform', 'Microsoft Azure', 'Apache Airflow', 'BigQuery', 'Denodo']",23,9,2024
Novencia Group,Full-time,Associate,Lyon,44000.0,Business Consulting and Services,Data Engineer,"['Python', 'Spark']",9,10,2024
OPEN,Full-time,Not Applicable,Rennes,44000.0,IT Services and IT Consulting,Data Engineer,"['Java', 'J2EE', 'SIG', 'Python', 'PowerBI', 'ServiceNow']",1,10,2024
URBAN LINKER,Full-time,Mid-Senior level,Paris,44000.0,Staffing and Recruiting,Data Engineer,"['Python', 'React', 'SvelteJS', 'Elasticsearch', 'MySQL', 'PostgreSQL', 'FASTAPI', 'Golang']",30,9,2024
Aubay,Full-time,Associate,Île-de-France,44000.0,IT Services and IT Consulting,Data Engineer,"['Hadoop', 'Spark', 'Kafka', 'Java', 'Scala', 'Python']",4,10,2024
Xpollens,Contract,Associate,Paris,44000.0,IT Services and IT Consulting,Data Engineer,"['Azure Synapse', 'Power BI']",7,10,2024
Neosoft,Full-time,Associate,Lille,44000.0,IT Services and IT Consulting,Data Engineer,"['Talend', 'BigQuery', 'Airflow', 'Python', 'Spark', 'Scala', 'Hadoop', 'Java']",26,9,2024
Wewyse,Full-time,Associate,Paris,44000.0,IT Services and IT Consulting,Data Engineer,"['Scala', 'Python', 'Java', 'AWS', 'GCP', 'Azure', 'Hadoop', 'Spark', 'Docker', 'Kubernetes', 'Jenkins', 'Ansible', 'Terraform', 'Git']",7,10,2024
Datatorii,Full-time,Associate,Paris,44000.0,IT Services and IT Consulting,Data Engineer,"['Microsoft Azure', 'Azure Data Factory', 'SQL Database', 'Synapse', 'Microsoft Fabric', 'Pipeline', 'dataflow', 'lakehouse', 'warehouse', 'Azure Databricks', 'Unity catalog', 'PySpark', 'SparkSQL', 'Python', 'SQL', 'Scala', 'DBT', 'CICD']",2,10,2024
Dickson,Full-time,Associate,Montpellier,44000.0,"Software Development, Measuring and Control Instrument Manufacturing, and Computers and Electronics Manufacturing",Data Engineer,"['Salesforce', 'NetSuite', 'SQL']",20,9,2024
Apside,Full-time,Mid-Senior level,Paris,44000.0,Information Technology & Services,Data Engineer,"['Hadoop', 'Spark', 'Kafka', 'Java', 'Scala', 'Python', 'SQL', 'AWS', 'GCP', 'Azure']",23,9,2024
LittleBigCode,Full-time,Mid-Senior level,Paris,44000.0,Business Consulting and Services,Data Engineer,"['Python', 'SQL', 'Scala', 'Tekton', 'GitHub Actions', 'Argo', 'Jenkins', 'Terraform', 'Doc']",11,10,2024
Fondation Adolphe de Rothschild,Contract,Associate,Paris,44000.0,Hospitals and Health Care,Data Engineer,"['Linux', 'Bash', 'Docker', 'Docker', 'compose', 'Python', 'SQL', 'NoSQL']",16,9,2024
Sibylone,Full-time,Associate,Île-de-France,44000.0,IT Services and IT Consulting,Data Engineer,['Dataiku'],13,9,2024
Visian,Full-time,Associate,Courbevoie,44000.0,IT Services and IT Consulting,Data Engineer,"['Unix', 'TIBCO', 'AWS', 'Azure', 'Databricks', 'Python v3', 'Spark', 'SQL']",27,9,2024
FINAXYS,Internship,Internship,Paris,44000.0,Financial Services,Data Engineer,"['Agile', 'Chat GPT', 'Big Data', 'Container', 'PaaS', 'Docker', 'DevOps', 'Blockchain', 'Cloud']",1,10,2024
ADVANCED Schema,Full-time,Associate,Lille,44000.0,IT Services and IT Consulting,Data Engineer,"['BASH', 'SQL', 'Java', 'Python', 'NoSQL', 'Scrum']",4,10,2024
Descartes Underwriting,Full-time,Entry level,Paris,44000.0,Insurance,Data Engineer,,16,11,2023
APGAR,Full-time,Entry level,Neuilly-sur-Seine,44000.0,Business Consulting and Services,Data Engineer,,7,10,2024
TMC,Full-time,Associate,Lyon,44000.0,"Electric Power Transmission, Control, and Distribution and Motor Vehicle Manufacturing",Data Engineer,"['Python', 'SQL', 'Azure', 'Qlik', 'Power BI', 'Databricks', 'Grafana', 'ElasticSearch', 'Kibana']",11,10,2024
Artik Consulting,Full-time,Associate,Paris,44000.0,IT Services and IT Consulting,Data Engineer,"['Python', 'Java', 'Scala', 'SQL', 'Spark', 'Hadoop', 'Kafka', 'Postgre', 'MySQL', 'MongoDB', 'Cassandra', 'AWS', 'GCP', 'Azure']",21,8,2024
Claranet France,Full-time,Associate,Lille,44000.0,IT Services and IT Consulting,Data Engineer,"['Apache Kafka', 'Spark']",9,10,2024
Groupe Mentor,Full-time,Entry level,Dommartemont,44000.0,Aviation and Aerospace Component Manufacturing,Data Engineer,['ETL'],12,10,2024
SCOR Digital Solutions,Full-time,Mid-Senior level,Paris,44000.0,Insurance,Data Engineer,"['Databricks', 'Power BI']",25,9,2024
SQLI,Full-time,Associate,Paris,44000.0,IT Services and IT Consulting,Data Engineer,"['Google Cloud Platform', 'BigQuery', 'Dataflow']",16,9,2024
Pathway,Full-time,Mid-Senior level,Paris,44000.0,Non-profit Organizations and Primary and Secondary Education,Data Engineer,"['Python', 'Rust', 'Kafka', 'S3']",15,3,2024
Lincoln France,Full-time,Associate,Auvergne-Rhône-Alpes,44000.0,"Business Consulting and Services, Data Infrastructure and Analytics, and IT Services and IT Consulting",Data Engineer,"['Scala', 'Spark', 'GCP', 'Python', 'Hadoop', 'Kafka', 'Talend', 'AWS', 'Azure', 'MySQL', 'PostgreSQL', 'MongoDB']",24,9,2024
Pathway,Full-time,Mid-Senior level,Paris,44000.0,Non-profit Organizations and Primary and Secondary Education,Data Engineer,"['Python', 'Rust', 'Kafka', 'S3']",15,3,2024
Valeuriad,Full-time,Not Applicable,Nantes,44000.0,IT Services and IT Consulting,Data Engineer,"['Apache Hadoop', 'Spark', 'Ambari', 'Hive', 'Java', 'Scala', 'RabbitMQ', 'Teradata', 'Squoop', 'Kudu', 'Hue', 'Impala', 'Dataiku', 'Flink', 'Kafka', 'Kibana', 'Oozie', 'Git', 'GitLabCI', 'Jenkins', 'AWS', 'IntelliJ']",4,10,2024
MERITIS,Full-time,Associate,Nantes,44000.0,"Technology, Information and Internet",Data Engineer,"['Spark', 'Spark Streaming', 'Kafka', 'Java', 'Hadoop', 'Cloudera', 'Hdfs', 'Hive', 'Hbase', 'Phoenix', 'MongoDB', 'DEVOPS', 'GIT', 'Jenkins', 'Artifactory', 'XL Release', 'ELK', 'Grafana']",8,10,2024
Groupe INGENA,Full-time,Associate,Paris,44000.0,IT Services and IT Consulting,Data Engineer,"['Scala', 'Python', 'Java', 'Spark', 'Hadoop', 'Hive', 'HBase', 'HDFS', 'MapR', 'Hortonworks', 'ELK', 'Terraform', 'NoSQL', 'AWS', 'GCP', 'Azure', 'Git', 'Jenkins', 'Docker', 'Kubernetes', 'Ansible']",10,10,2024
Tata Consultancy Services,Full-time,Mid-Senior level,Puteaux,44000.0,IT Services and IT Consulting,Data Engineer,"['Hive', 'Microstrategy', 'PL', 'SQL', 'Python', 'SAS', 'SQL Server', 'Database', 'Teradata', 'Vue', 'js', 'Flask', 'Spark', 'Elasticsearch', 'Linux', 'Unix', 'Java', 'Scala']",18,9,2024
Tata Consultancy Services,Full-time,Associate,Puteaux,44000.0,IT Services and IT Consulting,Data Engineer,"['AWS', 'Big Data', 'SQL', 'Spark', 'Python', 'Agile', 'SCRUM', 'Informatica', 'Power BI']",25,9,2024
Lincoln France,Full-time,Associate,Boulogne-Billancourt,44000.0,Data Infrastructure and Analytics,Data Engineer,"['Hadoop', 'Scala', 'Python', 'PySpark', 'GitLab', 'Jenkins', 'CICD', 'HDFS', 'Hive', 'Spark']",20,9,2024
Capgemini,Full-time,Associate,Nantes,44000.0,IT Services and IT Consulting,Data Engineer,"['SAP BI', 'Hana', 'BW', 'BODS', 'BI 4', 'Microsoft BI', 'SQL Server', 'SSIS', 'SSAS', 'SSRS', 'Oracle', 'ODI', 'OBIEE', 'Teradata', 'Informatica', 'Powercenter', 'IBM Datastage', 'Cognos', 'TM1', 'Talend', 'AB Initio', 'Microsoft Power BI', 'Tableau', 'Qlikview', 'Hadoop', 'HIVE', 'PIG', 'Mahout', 'Cloudera', 'Pivotal', 'Spark', 'HNX', 'R', 'SAS', 'IBM SPSS']",30,8,2024
Apside,Full-time,Associate,Île-de-France,44000.0,IT Services and IT Consulting,Data Engineer,"['Python', 'Spark', 'Scala', 'AWS', 'AWS Glue', 'AWS Lambda', 'Apache Airflow', 'ElasticSearch', 'AWS Athena', 'SQL']",11,10,2024
TieTalent,Full-time,Entry level,Paris,44000.0,"Technology, Information and Internet",Data Engineer,"['Python', 'AWS', 'Terraform', 'Elasticsearch', 'RDS']",5,10,2024
Beelix,Full-time,Associate,Lyon,44000.0,IT Services and IT Consulting,Data Engineer,"['Java', 'Python', 'PySpark', 'Apache Hadoop', 'Apache Spark', 'AWS', 'Apache Airflow', 'Kubernetes']",19,9,2024
ITNOVEM.,Full-time,Associate,Île-de-France,44000.0,Software Development,Data Engineer,"['Python', 'Scala', 'Spark', 'AWS', 'Azure']",10,9,2024
Aircall,Full-time,Entry level,Paris,44000.0,Software Development,Data Engineer,,1,10,2024
TotalEnergies,Full-time,Entry level,Paris,44000.0,Oil and Gas,Data Engineer,"['Python', 'Spark', 'SQL', 'Azure', 'AWS']",3,10,2024
Licorne Society,Full-time,Associate,Paris,44000.0,"Technology, Information and Internet",Data Engineer,"['AWS', 'ClickHouse']",30,9,2024
VISEO,Full-time,Entry level,Toulouse,44000.0,IT Services and IT Consulting,Data Engineer,"['Microsoft Azure', 'GoogleCloud']",27,9,2024
Devoteam I Google Cloud Partner,Full-time,Associate,Levallois-Perret,44000.0,IT Services and IT Consulting,Data Engineer,"['Google Cloud Platform', 'Scala', 'R', 'Python', 'Java', 'Looker', 'DataStudio']",23,9,2024
MP DATA,Full-time,Associate,Île-de-France,44000.0,IT Services and IT Consulting,Data Engineer,,30,9,2024
padoa,Internship,Not Applicable,Paris,44000.0,Software Development,Data Engineer,,12,9,2024
Institut F2I,Internship,Internship,Paris,44000.0,"IT System Training and Support, Professional Training and Coaching, and Education",Data Engineer,"['SQL', 'Hadoop', 'Spark', 'Python', 'Java', 'Scala']",1,10,2024
Beelix,Full-time,Associate,d'Azur,44000.0,IT Services and IT Consulting,Data Engineer,"['GitLab', 'Java', 'JavaScript', 'Python', 'SQL', 'Scala', 'JIRA', 'Confluence', 'Airflow']",24,9,2024
Audensiel,Full-time,Mid-Senior level,Lille,44000.0,IT Services and IT Consulting,Data Engineer,,30,9,2024
TRONICO,Full-time,Associate,Saint-Philbert-de-Bouaine,44000.0,Renewable Energy Semiconductor Manufacturing,Data Engineer,['machine learning'],29,9,2024
Technology & Strategy,Full-time,Associate,Paris,41500.0,IT Services and IT Consulting,Data Analyst,"['Python', 'pandas', 'NumPy', 'scikit', 'learn', 'Tableau', 'Power BI']",10,10,2024
FRG Technology Consulting,Full-time,Entry level,Paris,44000.0,Staffing and Recruiting,Data Engineer,"['Scala', 'Python', 'Spark', 'Kafka', 'AWS', 'Azure', 'GCP', 'Kubernetes']",28,9,2024
Amiltone,Full-time,Associate,Lyon,44000.0,IT Services and IT Consulting,Data Engineer,"['MongoDB', 'PostgreSQL', 'Power BI', 'Python', 'Scala', 'R', 'Docker', 'Jenkins', 'Gitlab', 'Github', 'Grafana']",11,10,2024
Sodexo,Internship,Internship,Paris,44000.0,Food and Beverage Services,Data Engineer,"['SQL', 'Java', 'Talend', 'ETL', 'Salesforce', 'Microsoft Power Platform', 'APIs']",11,10,2024
DGTL Performance,Full-time,Entry level,Rennes,44000.0,IT Services and IT Consulting,Data Engineer,"['Python 3', '7', 'Flask', 'Fast API', 'SQL', 'Azure Functions', 'Azure Tables', 'Azure Data Explorer', 'API Rest', 'API Management', 'OPEN API']",5,9,2024
Lenstra,Full-time,Mid-Senior level,Paris,44000.0,IT Services and IT Consulting,Data Engineer,"['GitHub', 'dbt', 'Terraform', 'Vault', 'Dagster', 'Jenkins', 'CircleCI', 'GitLab', 'Prometheus', 'Grafana']",1,10,2024
Visian,Full-time,Associate,Paris,44000.0,IT Services and IT Consulting,Data Engineer,"['Databricks', 'Python', 'SQL', 'Spark', 'Airflow', 'AWS', 'Amazon S3']",2,10,2024
papernest,Other,Not Applicable,Paris,44000.0,Real Estate,Data Engineer,"['SFTP', 'API', 'Python', 'Airflow']",21,8,2024
Octopus IT - Expert du recrutement tech,Full-time,Entry level,Paris,44000.0,Human Resources Services,Data Engineer,,14,7,2023
AXA Investment Managers,Full-time,Internship,Puteaux,44000.0,Financial Services,Data Engineer,,8,10,2024
Devoteam I Google Cloud Partner,Full-time,Entry level,Levallois-Perret,44000.0,Business Consulting and Services,Data Engineer,"['Looker', 'Tableau', 'QlikView', 'DataStudio', 'TensorFlow', 'Keras', 'Scikit Learn']",28,9,2024
Lucky Cart,Full-time,Entry level,Paris,44000.0,IT Services and IT Consulting,Data Engineer,"['Python', 'Javascript', 'Java', 'CC', 'Scala', 'SQL', 'NoSQL', 'Hadoop', 'Map Reduce', 'Spark', 'Kafka', 'GCP', 'Azure', 'AWS', 'Linux', 'Ubuntu', 'Apache', 'Nginx', 'R', 'DBT', 'ETLELT']",23,9,2024
Harry Hope.,Full-time,Associate,Bois-Guillaume,42500.0,Staffing and Recruiting,Data Engineer,"['Power BI', 'Python', 'SQL', 'MSSQL', 'MariaDB', 'PostgreSQL']",23,9,2024
SoyHuCe｜a JAKALA company,Full-time,Associate,Paris,44000.0,Data Infrastructure and Analytics and IT Services and IT Consulting,Data Engineer,"['MLEM', 'ETL', 'ELT']",7,10,2024
Audensiel,Full-time,Associate,Nantes,44000.0,IT Services and IT Consulting,Data Engineer,"['Python', 'Java', 'Scala']",30,9,2024
DGTL Performance,Full-time,Associate,Rennes,44000.0,IT Services and IT Consulting,Data Engineer,"['Python 3', '7', 'Flask', 'Fast API', 'SQL', 'Azure Functions', 'Azure Tables', 'Azure Data Explorer', 'API Rest', 'API Management']",4,9,2024
Amiltone,Full-time,Associate,Lille,44000.0,IT Services and IT Consulting,Data Engineer,,11,10,2024
DoubleVerify,Full-time,Mid-Senior level,Paris,44000.0,Advertising Services,Data Engineer,,4,10,2024
Amiltone,Full-time,Associate,Dijon,44000.0,IT Services and IT Consulting,Data Engineer,"['Azure', 'Python', 'GitFlow', 'Scala', 'ElasticSearch']",11,10,2024
Talan,Full-time,Mid-Senior level,Paris,44000.0,IT Services and IT Consulting,Data Engineer,,2,10,2024
Tudigo,Contract,Not Applicable,Bordeaux,44000.0,Financial Services,Data Engineer,"['PHP', 'React', 'TypeScript', 'Mixpanel', 'Amazon Redshift', 'Airflow', 'Python']",12,9,2024
Devoteam I Google Cloud Partner,Full-time,Associate,Levallois-Perret,44000.0,IT Services and IT Consulting,Data Engineer,"['Google Cloud Platform', 'Scala', 'R', 'Python', 'Java', 'Looker', 'DataStudio']",23,9,2024
Hmarket Supermarchés,Full-time,Entry level,Gonesse,44000.0,Retail Groceries,Data Engineer,"['Microsoft SQL Server', 'Power BI', 'SSIS', 'SSAS', 'SSRS', 'DQS']",26,6,2024
Believe,Full-time,Not Applicable,Paris,44000.0,Musicians,Data Engineer,"['AWS', 'Snowflake', 'Python', 'S3', 'Step Function', 'Spark', 'Scala', 'Databricks', 'SQL', 'TU', 'Data Galaxy', 'Confluence']",10,10,2024
Devoteam I Google Cloud Partner,Full-time,Associate,Île-de-France,44000.0,IT Services and IT Consulting and Business Consulting and Services,Data Engineer,"['BigQuery', 'Dataflow', 'PubSub']",3,10,2024
SOFTEAM,Full-time,Associate,Île-de-France,44000.0,Insurance and Banking,Data Engineer,"['DBT', 'SingleStore', 'Python', 'AWS', 'Azure', 'GCP']",1,10,2024
VISEO,Full-time,Entry level,Boulogne-Billancourt,44000.0,IT Services and IT Consulting,Data Engineer,"['Microsoft Azure', 'GoogleCloud']",26,9,2024
METEOJOB by CleverConnect,Internship,Entry level,Paris,44000.0,"Technology, Information and Internet",Data Engineer,"['Java 11', 'Spring boot', 'React', 'Redux', 'Reacthookform', 'Reactflow', 'FastAPI', 'Javascript', 'Kubernetes', 'Docker', 'Azure', 'Python', 'SQL', 'Git', 'NumPy', 'Panda', 'Scikit', 'MongoDB', 'Tableau BI']",10,9,2024
Linkt,Full-time,Entry level,of,44000.0,"Technology, Information and Media",Data Engineer,['PowerBI'],9,10,2024
Randstad Digital France,Full-time,Not Applicable,Lyon,44000.0,Telecommunications and Services for Renewable Energy,Data Engineer,"['Teradata', 'ETL']",2,10,2024
"Kalyptus, It & Digital Executive Search",Full-time,Associate,Lille,44000.0,"Transportation, Logistics, Supply Chain and Storage",Data Engineer,"['Python', 'SQL', 'Databricks', 'Power BI']",24,9,2024
TieTalent,Full-time,Entry level,Arcueil,44000.0,"Technology, Information and Internet",Data Engineer,,8,10,2024
e-Kent,Full-time,Entry level,Paris,44000.0,Railroad Equipment Manufacturing,Data Engineer,,19,9,2024
Avanci - MV Group,Full-time,Entry level,Tours,44000.0,Advertising Services and Public Relations and Communications Services,Data Engineer,"['SQL', 'Python', 'GIT', 'Airflow', 'Google Cloud Platform', 'GCP', 'MongoDB']",6,9,2024
PrestaShop,Full-time,Not Applicable,Paris,44000.0,Software Development,Data Engineer,"['GCP', 'BigQuery', 'GKE', 'Cloud Run', 'VPC', 'Kafka', 'Redpanda', 'Pyspark', 'SparkSQL', 'Benthos', 'SQL', 'Python']",27,9,2024
Beelix,Full-time,Associate,Paris,44000.0,IT Services and IT Consulting,Data Engineer,"['AWS', 'S3', 'Lambda', 'IAM', 'RDS', 'Redshift', 'Step Functions']",19,9,2024
CGI,Full-time,Associate,Île-de-France,44000.0,IT Services and IT Consulting,Data Engineer,"['MapR', 'Cloudera', 'Nifi', 'Kafka', 'PySpark', 'Python', 'Hadoop', 'HDFS', 'YARN', 'Hive', 'Hue', 'Oozie', 'Mongo', 'HBase', 'Couchbase', 'Marklogic']",24,9,2024
Capgemini,Internship,Internship,Grenoble,44000.0,IT Services and IT Consulting,Data Engineer,"['Talend', 'Informatica', 'SSIS', 'Spark', 'Python', 'Scala', 'Oracle', 'SQL Server', 'Postgres']",16,9,2024
Key Performance Consulting (KPC),Full-time,Associate,Bordeaux,44000.0,IT Services and IT Consulting,Data Engineer,"['Kafka', 'Snowpipe', 'Star Schema', 'DataVault', 'DataMesh', 'SQL', 'Python', 'Java', 'Scala']",1,10,2024
Thales,Full-time,Not Applicable,Vélizy-Villacoublay,44000.0,Aviation and Aerospace Component Manufacturing and Defense and Space Manufacturing,Data Engineer,,26,9,2024
DCube,Full-time,Associate,Boulogne-Billancourt,44000.0,IT Services and IT Consulting,Data Engineer,"['Snowflake', 'Databricks', 'Microsoft Fabrics', 'Azure Synapse Analytics', 'DBT', 'Azure']",25,9,2024
TieTalent,Full-time,Entry level,Lambersart,44000.0,"Technology, Information and Internet",Data Engineer,"['JAVA', 'C', 'C', 'Python', 'GIT Hub']",5,10,2024
VISEO,Full-time,Entry level,Boulogne-Billancourt,44000.0,IT Services and IT Consulting,Data Engineer,"['Azure', 'Azure Data Factory', 'Azure Data Lake', 'Azure SQL Database', 'Azure Synapse Analytics', 'Microsoft Fabric', 'Spark', 'Azure Databricks']",24,9,2024
SQLI,Full-time,Associate,Paris,44000.0,IT Services and IT Consulting,Data Engineer,"['Azure', 'MSBI', 'HF', 'Talend', 'Data Factory', 'Databricks', 'Power BI']",16,9,2024
Lincoln France,Full-time,Associate,Île-de-France,44000.0,Data Infrastructure and Analytics and IT System Data Services,Data Engineer,"['GCP', 'BigQuery', 'PubSub', 'CloudRun', 'Cloud Functions', 'Python', 'Java', 'SQL', 'Terraform', 'Jenkins', 'Airflow', 'Docker', 'Kubernetes']",4,10,2024
Octopus IT - Expert du recrutement tech,Full-time,Entry level,Paris,44000.0,Human Resources Services,Data Engineer,"['Python', 'Scala', 'Spark', 'Hadoop', 'HDFS', 'Hive', 'Hbase', 'Aws', 'GCP', 'Azure']",22,2,2024
Groupe Qérys,Full-time,Mid-Senior level,Haillan,45000.0,Wholesale,Data Engineer,"['Talend', 'Open Data Studio', 'Talend Data Integration', 'ETLTools', 'Qliksense', 'Cloud', 'SQLServer', 'Oracle', 'MySQL', 'AS400', 'Snowflake', 'Jira', 'Confluence', 'JavaScript', 'Python', 'Linux', 'Windows']",11,9,2024
Descartes Underwriting,Full-time,Associate,Paris,44000.0,Insurance,Data Engineer,,30,9,2024
CGI,Full-time,Entry level,Clermont-Ferrand,44000.0,IT Services and IT Consulting,Data Engineer,"['Power BI', 'MicroStrategy', 'Tableau', 'Cognos', 'SQL', 'Python', 'DAX', 'R', 'Azure', 'Snowflake', 'Databricks', 'AWS']",11,10,2024
HelloFresh,Full-time,Entry level,Paris,44000.0,Consumer Services,Data Engineer,"['Python', 'SQL']",12,10,2024
eXalt,Full-time,Entry level,Paris,44000.0,IT Services and IT Consulting,Data Engineer,"['Python', 'Scala', 'Spark', 'Hadoop', 'Kafka', 'Talend', 'AWS', 'GCP', 'Azure']",11,10,2024
Atos,Full-time,Not Applicable,Pessac,44000.0,Computer and Network Security and IT Services and IT Consulting,Data Engineer,"['AWS', 'Snowflake', 'Informatica Cloud']",30,9,2024
Institut F2I,Internship,Internship,Corbeil-Essonnes,44000.0,"IT System Training and Support, Professional Training and Coaching, and Education",Data Engineer,"['SQL', 'Hadoop', 'Spark', 'Python', 'Java', 'Scala']",11,10,2024
Interstellar Lab,Full-time,Entry level,Paris,44000.0,"Technology, Information and Internet",Data Engineer,,9,7,2024
AVEM (Groupe),Full-time,Mid-Senior level,Bruz,44000.0,Financial Services,Data Engineer,"['Kafka', 'Kafka Connect', 'KStream', 'Kubernetes', 'Java', 'Python', 'Gitlab', 'Jenkins', 'Artifactory', 'Ansible']",26,9,2024
MP DATA,Full-time,Not Applicable,Boulogne-Billancourt,44000.0,Information Technology & Services,Data Engineer,"['GCP', 'BigQuery', 'Dataflow', 'Looker', 'Python']",7,10,2024
HN Services,Full-time,Associate,Val-De-Marne,44000.0,IT Services and IT Consulting and IT System Data Services,Data Engineer,"['TERADATA', 'Unix', 'SQL', 'BTEQ']",18,9,2024
Amiltone,Full-time,Entry level,Marseille,44000.0,IT Services and IT Consulting,Data Engineer,"['Azure', 'Microsoft']",4,4,2024
AVIV Group,Full-time,Mid-Senior level,Paris,44000.0,Real Estate,Data Engineer,,10,10,2024
Thales,Full-time,Not Applicable,Lambersart,44000.0,Aviation and Aerospace Component Manufacturing and Defense and Space Manufacturing,Data Engineer,"['GIT', 'Java', 'C', 'C', 'Python']",28,9,2024
TotalEnergies,Temporary,Entry level,Solaize,41500.0,Climate Technology Product Manufacturing,Data Analyst,,20,9,2024
Epsilon France,Full-time,Mid-Senior level,Paris,44000.0,Advertising Services,Data Engineer,"['Jupyter', 'Zeppelin', 'R', 'Python']",2,10,2024
TieTalent,Full-time,Entry level,Metz,44000.0,"Technology, Information and Internet",Data Engineer,"['Spark', 'Synapse', 'Azure', 'Power BI', 'Tableau']",10,10,2024
SFEIR,Full-time,Entry level,Lille,44000.0,IT Services and IT Consulting,Data Engineer,"['Google Cloud', 'AWS', 'Azure', 'Databricks', 'dbt', 'Snowflake', 'Linux Foundation']",29,9,2024
Groupe Havana,Full-time,Associate,Lyon,44000.0,Software Development,Data Engineer,"['Azure', 'ETL', 'Datalake', 'Datawarehouse']",31,8,2024
Lincoln France,Full-time,Associate,Île-de-France,44000.0,"Data Infrastructure and Analytics, Information Technology & Services, and IT Services and IT Consulting",Data Engineer,"['Databricks', 'PySpark', 'DBT', 'Parquet', 'Delta Lake']",6,10,2024
TieTalent,Full-time,Entry level,Longwy,44000.0,"Technology, Information and Internet",Data Engineer,"['Spark', 'Synapse', 'Azure', 'Power BI', 'Tableau', 'ETL']",10,10,2024
BEOM Consulting,Full-time,Entry level,Lyon,44000.0,IT Services and IT Consulting,Data Engineer,['Azure Data Factory'],10,10,2024
